ID,Research Group,Contributors,Year,Expr1,Date,Time,Sreg2,Reg2#, Narative Location,Dec Lat,Dec Long,QL#,QR#,QF#,Photographer 1,Roll 1,Frames 1,Best Left,Best Right,Best Fluke,Comment
30,NMML,,2000,8,8/20/2000,10:58,WVI,11,Perez Rocks,49.42983333,-126.5943333,1,1,,MG,18/19,"1-37,1-36a",,,,
30,NMML,,2000,8,8/18/2000,15:38,WVI,11,Estevan Point and then Perez Rocks,49.37066667,-126.5378333,1,,,MG,13,1-37,,,,
30,NMML,,1999,8,8/7/1999,16:49,WVI,11,SOUTH OF ESCALANTE PT.,49.49216667,-126.5893333,1,2,3,MG,16,10-19,,,,
30,NMML,,1999,8,8/13/1999,,WVI,11,SO. OF ESCALANTE ROCKS,49.50266667,-126.5826667,2,,,MG,26,05A-21A,,,,
30,NMML,,1999,9,9/11/1999,,WVI,11,SPLIT CAPE,49.46666667,-126.5833333,,2,,PJG,9,29,,,,
30,NMML,,1999,9,9/11/1999,,WVI,11,INSHORE OFF SPLIT CAPE,49.46666667,-126.5833333,1,1,,PJG,"9,10","30-36,01A-04A",,,,
30,NMML,,1999,9,9/12/1999,,WVI,11,OFF ESCALANTE (ROCKS),49.48333333,-126.5666667,1,,,PJG,10,19A-34A,,,,
30,NMML,N,1998,9,9/25/1998,,SJF,7,Jensen Creek,48.31716667,-124.4501667,1,,,PG,12,35,,,,
32,NMML,,1999,8,8/11/1999,,NBC,12,SOUTH CAPE CAUTION,51.15,-127.75,,1,,PJG,6,17-26,,,,
32,NMML,,1999,8,8/11/1999,,NBC,12,WEST OF WILKIE POINT,51.1305,-127.716,1,1,,MG,"23,24","14A-37A,01-22",CRC-ER-0032LM.jpg,CRC-ER-0032RM.jpg,,
37,NMML,,2001,8,8/10/2001,,WVI,11,"Perez Rks, S of",49.395,-126.5813333,2,3,3,MG,"27,28","17a-E,1-22",,,,
37,NMML,,2000,8,8/20/2000,10:20,WVI,11,"Split Cape, N of",49.47833333,-126.5853333,1,,3,MG,17,1-28,,,,
37,NMML,,1999,8,8/8/1999,,WVI,11,OFF BAJO PT.,49.60716667,-126.8678333,,2,2,MG,"16,17,18,19","20-37,01A-36A,01-36,01-03",,,,
37,NMML,,1999,8,8/8/1999,,WVI,11,BAJO REEF,49.6,-126.85,,2,,PJG,5,01-24,,,,
37,NMML,N,1998,9,9/15/1998,,NWA,6,Fuca Pillar-Skagway,48.3835,-124.7335,1,3,3,MG,"11,12","13-36,07A-14A",,,,
37,NMML,NMML,1996,7,7/27/1996,12:55,SVI,10,0,48.35133333,-124.4333333,,,,MG,2,05-,,,,NMML
41,NMML,,2001,7,7/6/2001,,SVI,10,Pachena Pt,48.71666667,-125.0996667,,1,2,MG,17,15a-19a,,,,
41,NMML,,2001,7,7/9/2001,,SVI,10,Tsusiat Fls,48.683,-124.9238333,,1,,MG,22,1-10,,,,
41,NMML,,2000,8,8/18/2000,17:06,WVI,11,Perez Rocks,49.418,-126.5845,2,,,MG,14,1a-19a,,,,
41,NMML,,2000,8,8/20/2000,12:18,WVI,11,Perez Rocks,49.42983333,-126.5943333,1,1,2,MG,21/22,"1-37,1-8",,,,
41,NMML,,1999,6,6/30/1999,,SVI,10,NITINAT MOUTH,48.66633333,-124.8536667,1,1,,MG,4,14A-24A,,,,
41,NMML,,1999,8,8/10/1999,,NBC,12,SE OF CHRISTENSEN POINT,51.85,-128.2333333,1,2,,MG,22,01-37,,,,
41,NMML,N,1998,7,7/1/1998,,SVI,10,Tsusiat Falls,48.684,-124.9176667,3,,,PG,3,"18A,21A,22A",,,,
41,NMML,N,1998,9,9/1/1998,,SVI,10,E. Pachena,48.71666667,-125.0833333,,3,,PG,11,13,,,,
41,NMML,NMML,1996,7,7/27/1996,12:55,SVI,10,0,48.35133333,-124.4333333,,,,MG,2,05-,,,,NMML
41,NMML,,2006,8,8/23/2006,9:35,NWA,6,Western SJF,48.1488,-124.742,,2,,Pat Gearin,2006NB-Aug23,11-18,,DSC_0012,,
41,MAKAH-NMML,,2009,7,7/1/2009,14:33,SJF,7,Shipwreck,48.326,-124.463,2,2,,Seraphina Peters,D70,20090701-D70_145-20090701-D70_177,MAKAH-NMML-20090701-SP-DSC_0176.jpg,MAKAH-NMML-20090701-SP-DSC_0163.jpg,,
41,MAKAH-NMML,,2009,7,7/1/2009,12:33,SJF,7,E of Rasmussen,48.3326,-124.4775,2,2,,Seraphina Peters,D70,20090701-D70_126-20090701-D70_144,MAKAH-NMML-20090701-SP-DSC_0142.jpg,MAKAH-NMML-20090701-SP-DSC_0135.jpg,,
42,NMML,,2001,7,7/9/2001,,SVI,10,"Pachena Pt, E of",48.71666667,-125.1,2,,,MG,20,7-29,,,,
42,NMML,,2001,6,6/28/2001,,SVI,10,Pachena Bay,48.73683333,-125.1263333,2,1,,MG,"10,11","19-E,1-13",,,,
42,NMML,,2000,8,8/18/2000,15:13,WVI,11,Estevan Point,49.37066667,-126.5378333,2,,,MG,12,30-37,,,,
42,NMML,,2000,8,8/20/2000,13:09,WVI,11,Estevan Lighthouse,49.383,-126.5641667,1,2,,MG,22/23,"9-37,1-37",,,,
42,NMML,,1999,7,7/23/1999,,SVI,10,2 MI. W OF NITINAT,48.66666667,-124.8333333,2,1,,PJG,2,01-36,,,,
42,NMML,,1999,8,8/4/1999,,SVI,10,KLANAWA RIVER,48.7,-124.9508333,2,,,PJG,3,33-35,,,,"43 IS DIAMOND, 42 IS BUDDY"
42,NMML,,1999,8,8/4/1999,16:44,SVI,10,0,48.703,-124.995,2,1,,MG,"9,10,11","23-37,01-37,01-12",,,,
42,NMML,,1999,8,8/26/1999,,SJF,7,E. BULLMAN BEACH,48.33333333,-124.5,2,2,,PJG,8,06-19,,,,Added late
42,NMML,,1999,9,9/12/1999,,WVI,11,N. OF SPLIT CAPE,49.46666667,-126.5833333,1,,,PJG,11,01-07,,,,
42,NMML,,1999,9,9/29/1999,,SJF,7,OFF SNOW CREEK,48.35,-124.5333333,2,2,,MG,30,04-20,,,,BUDDY; Added late
42,NMML,,1999,10,10/4/1999,,SJF,7,THIRD BEACH,48.36666667,-124.5666667,,2,,PJG,13,08-23,,,,
42,NMML,,1999,10,10/13/1999,,SJF,7,"OFF SAIL RIVER MOUTH, BUDDY; IN 29' WATER",48.35,-124.55,,1,,MG,31,01-04,,,,BUDDY; Added late
42,NMML,,1999,10,10/14/1999,,SJF,7,OFF SAIL RIVER,48.35,-124.55,,2,,MG,31,18-34,,,,Added late
42,NMML,,1999,10,10/19/1999,,SJF,7,SAIL ROCK & RASMUSSEN,48.35,-124.5166667,2,,,PJG,14,11-15,,,,Added late
42,NMML,N,1998,10,10/14/1998,,SJF,7,Sail Rock,48.35083333,-124.5341667,1,,,PG,14,03,,,,
42,NMML,N,1998,10,10/15/1998,,SJF,7,Seal/Sail Rock,48.35116667,-124.55,2,1,,PG,"14,15","23,24,06,17",,,,
42,NMML,Pat Gearin,1993,7,7/5/1993,,SJF,7,0,48.36666667,-124.5166667,,,,DUP,01,17,,,,
42,NMML,,2008,10,10/28/2008,9:53,SJF,7,E Bullman,48.347,-124.5171,,2,,Merrill Gosho,EROct_PJG/10-28-2008,238-259,,DSC_0250,,
42,NMML,,2008,10,10/29/2008,4:02,SJF,7,3rd Beach,48.3716,-124.5735,,1,,Merrill Gosho,EROct_PJG/10-29-2008,45-71,,DSC_0056,,
42,NMML,,2009,6,6/18/2009,7:47,SJF,7,Str of Juan de Fuca,48.3621,-124.5451,1,,,Pat Gearin,2009-06-18-PJG,1-82,NMML-20090618-PJG-0060.jpg,,,
42,NMML,,2009,6,6/18/2009,9:40,SJF,7,Str of Juan de Fuca,48.3251,-124.4658,1,2,,Pat Gearin,2009-06-18-PJG,84-112,NMML-20090618-MG-0099.jpg,NMML-20090618-PJG-0096.jpg,,
42,NMML,,2009,6,6/18/2009,10:37,SJF,7,Str of Juan de Fuca,48.3201,-124.4498,3,,,Merrill Gosho,2009-06-18-MG,112-116,NMML-20090618-MG-0117.jpg,,,
43,NMML,,1999,7,7/23/1999,,SVI,10,2 MI. W OF NITINAT,48.66666667,-124.8333333,1,2,,PJG,2,01-36,CRC-ER-0043LM.jpg,,,
43,NMML,,1999,8,8/4/1999,,SVI,10,KLANAWA RIVER,48.7,-124.9508333,,1,,PJG,3,33-35,,CRC-ER-0043RB.jpg,,"43 IS DIAMOND, 42 IS BUDDY"
43,NMML,,1999,8,8/4/1999,16:44,SVI,10,0,48.703,-124.995,1,1,,MG,"9,10,11","23-37,01-37,01-12",,,,
43,NMML,N,1998,7,7/24/1998,,NWA,6,Bodelteh,48.1675,-124.7666667,2,1,,MG,4,"05,14,18",,,,
43,NMML,PAT GEARIN,1994,8,8/4/1994,,NWA,6,0,48.18333333,-124.7333333,,,,PG,D1,10A,,,,Ozette
43,NMML,,1997,9,9/2/1997,16:55,SJF,7,0,48.35133333,-124.5508333,,,,PJG,11,8-1,,,,
43,NMML,MG,2003,9,9/24/2003,9:43,NWA,6,"Mad Bear rk., off",48.32266667,-124.6813333,2,2,1,MG,7,29-37,,,CRCID43.jpg,
49,NMML,,2001,3,3/22/2001,,NPS,9,"Saratoga Passage, E side Whidbey Is.",48.07683333,-122.4023333,1,,,MG,1,1-23,,,,
49,NMML,,2001,3,3/22/2001,,NPS,9,"Saratoga Passage, E side Whidbey Is.",48.08283333,-122.4741667,,,,MG,1,24-29,,,,
53,NMML,,2000,6,6/2/2000,14:57,NPS,9,"Camano Is,  Langley, Whidbey Island, S tip of, and  S of ",48.03333333,-122.3666667,1,3,,MG,7,1-37,,,,
56,NMML,,2001,3,3/22/2001,,NPS,9,"Saratoga Passage, E side Whidbey Is.",48.07683333,-122.4023333,2,,1,MG,1,1-23,,,,
56,NMML,,2001,3,3/22/2001,,NPS,9,"Saratoga Passage, E side Whidbey Is.",48.08283333,-122.4741667,,,,MG,1,24-29,,,,
67,NMML,,1999,11,11/23/1999,,NWA,6,GUANO ROCK TO CANNONBALL,48.16666667,-124.7333333,,1,,PJG,16,01-03,,,,Added late
67,NMML,,1997,7,7/29/1997,11:47,NWA,6,0,48.168,-124.7343333,,,,KMH,2,1-1,,,,
67,NMML,,1997,8,8/3/1997,13:15,NWA,6,0,48.1515,-124.7505,,,,MG,13,9-3,,,,
67,NMML,,1997,7,7/6/1997,17:15,NWA,6,0,48.15,-124.7333333,,,,PJG,6,1-1,,,,
67,NMML,,1997,7,7/16/1997,14:11,SJF,7,0,48.35066667,-124.5336667,,,,PJG,7,22-,,,,
67,NMML,,1997,10,10/8/1997,10:30,SJF,7,0,48.35083333,-124.5506667,,,,PJG,15,1-7,,,,
67,NMML,,2005,8,8/3/2005,12:26,SJF,7,Second Beach,48.3745,-124.5798333,1,1,,MG,2005NB-ER-08-03,1-17,,,,
67,NMML,,2005,8,8/3/2005,14:31,SJF,7,First Beach,48.37583333,-124.5816667,1,2,,MG,2005NB-ER-08-03,18-28,,,,Same as at 2nd Beach
67,NMML,,2006,5,5/4/2006,12:06,NWA,6,Northern WA Outer Coast,48.1885,-124.7178,2,2,,Merrill Gosho,2006NB-May04,24-40,DSC_0039,DSC_0029,,"Previously ER A and ER B, now consolidated"
67,NMML,,2006,6,6/7/2006,10:50,NWA,6,Western SJF,48.1055,-124.7015,1,2,,Pat Gearin,2006NB-Jun07,19-49,DSC_0045,DSC_0048,,
67,NMML,,2006,9,9/8/2006,11:17,NWA,6,Northern WA Outer Coast,48.1756,-124.7666,2,2,,Merrill Gosho,2006NB-Sept08,82-103,DSC_0102,DSC_0089,,
67,NMML,,2006,10,10/11/2006,10:30,NWA,6,Western SJF,48.1808,-124.7406,2,2,,Pat Gearin,2006NB-Oct11,11-36,DSC_0034,DSC_0036,,Previously ER E and ER F
67,MAKAH-NMML,,2011,6,6/29/2011,16:37,NWA,6,,48.3608,-124.7155,1,2,,Adrianne Akmajian,D70s,"20110629_D70s_1336_20110629_D70s_1386, 1390-1400",20110629_D70_2990.jpg,20110629_D70s_1377.jpg,,
67,MAKAH-NMML,,2011,7,7/19/2011,13:15,NWA,6,,48.1811,-124.7456,2,2,,Adrianne Akmajian,D70s,20110719_D70s_1472_20110719_D70s_1511,,20110719_D70s_1509.JPG,,
67,MAKAH-NMML,,2011,8,8/3/2011,10:49,SJF,7,Str of Juan de Fuca,48.3578,-124.535,2,,,Jonathan Scordino,D70,20110803_D70_3636_20110803_D70_3656,,,,
67,MAKAH-NMML,,2011,8,8/10/2011,,SJF,7,Str of Juan de Fuca,48.3713,-124.5666,2,,,Jonathan Scordino,D70,20110810_D70_3663_20110810_D70_3674,,,,
67,MAKAH-NMML,,2011,8,8/11/2011,18:09,NWA,6,,48.289,-124.6958,2,1,,Jonathan Scordino,D70,20110811_D70_3881_20110811_D70_3896,,20110811_D70_3884.jpg,,
67,MAKAH-NMML,,2011,8,8/17/2011,11:08,NWA,6,,48.1763,-124.7523,2,1,,Adrianne Akmajian,D70s,20110817_1819_20110817_D70s_1833,,20110817_D70s_1825.jpg,,
67,MAKAH-NMML,,2011,9,9/1/2011,10:25,NWA,6,,48.2465,-124.7133,1,3,3,Michael Murner,D70,20110901_D70_4144_20110901_D70_4160,,20110901_D70_4145.jpg,20110901_D70_4160.jpg,
67,MAKAH-NMML,,2011,9,9/1/2011,16:00,NWA,6,,48.2325,-124.7095,,2,,Adrianne Akmajian,D70,20110901_D70_4246_20110901_D70_4248,,20110901_D70_4247.jpg,,
67,MAKAH-NMML,,2011,10,10/19/2011,13:29,NWA,6,,48.162,-124.7593,3,2,,Adrianne Akmajian,D70s,20111019_D70s_2994_20111019_D70s_3010,,20111019_D70s_3005.JPG,,
67,MAKAH-NMML,,2012,9,9/26/2012,13:02,NWA,6,Cannonball to East Bodelteh Island,48.1741,-124.745,1,1,,Adrianne Akmajian,D70,20120926_D70_3509_20120926_D70_3544,20120926_D70_3542.jpg,20120926_D70_3523.jpg,,
67,MAKAH-NMML,,2012,9,9/26/2012,14:11,NWA,6,China Town,48.1683,-124.766,1,1,,Adrianne Akmajian,D70,20120926_D70_3590_20120926_D70_3617,20120926_D70_3596.jpg,20120926_D70_3612.jpg,,
67,NMML,,2004,8,8/25/2004,9:52,SJF,7,Sail Rock,48.36,-124.5428,2,,,Pat Gearn,04PG-3,8-26,04PG-3-10,04PG-3-20,,
68,NMML,PAT GEARIN,1994,8,8/27/1994,,NWA,6,0,48.3675,-124.7333333,,,,PG,D2,1a,,,,Fuca Pillar
68,NMML,PAT GEARIN,1994,8,8/9/1994,,NWA,6,0,48.35,-124.7166667,,,,PG,D1,14a,,,,Green Bank
68,NMML,PAT GEARIN,1994,8,8/11/1994,,NWA,6,0,48.35083333,-124.7333333,,,,PG,D1,21a,,,,North Cape B
68,NMML,NMML,1996,8,8/13/1996,12:37,NWA,6,0,48.28433333,-124.6841667,,,,MG,4,19-,,,,NMML
68,NMML,NMML,1996,8,8/23/1996,10:05,NWA,6,0,48.33366667,-124.7,,,,PG,1,1-1,,,,NMML
68,NMML,NMML,1996,8,8/27/1996,14:17,NWA,6,0,48.3015,-124.7,,,,MG,6,01-,,,,NMML
68,NMML,NMML,1996,9,9/12/1996,13:46,NWA,6,0,48.30066667,-124.7,,,,MG,8,05a,,,,NMML
68,NMML,NMML,1996,9,9/26/1996,,NWA,6,0,48.35,-124.7166667,,,,MG,10,1-9,,,,NMML
68,NMML,,1997,7,7/18/1997,10:29,SJF,7,0,48.384,-124.6176667,,,,MG,8,1-2,CRC-ER-0068LB.jpg,,,
68,NMML,,1997,8,8/1/1997,13:18,SJF,7,0,48.38366667,-124.6013333,,,,KMH,2,25-,,,,
68,NMML,,1997,8,8/3/1997,10:14,SJF,7,0,48.38433333,-124.6503333,,,,MG,13,1-8,,,,
76,NMML,,2001,8,8/9/2001,,NWA,6,Skagway Rks,48.36666667,-124.7175,2,,,,1,31-34,,,,
76,NMML,,2001,7,7/7/2001,,SVI,10,"George Fraser Is, NW of",48.9175,-125.5146667,,3,2,MG,17,20a-29a,,,,
76,NMML,PJG,2003,7,7/26/2003,,NWA,6,Skagway/Waatch Pt.,48.368,-124.7181667,3,,,PJG,2,23-31,,,,
79,NMML,,1999,6,6/29/1999,,NWA,6,SKAGWAY/MUSHROOM ROCK,48.36783333,-124.7275,1,2,,MG,4,01A-13A,,,,
79,NMML,N,1998,8,8/26/1998,,SVI,10,W. Tsusiat,48.7,-124.95,,1,,PG,10,09,,,,
80,NMML,,2002,5,5/22/2002,,NWA,6,"White Rk, .5 mi East of",48.14883333,-124.7301667,2,1,,PJG,1,1-23,,,,Er moving North together
80,NMML,,2002,5,5/23/2002,,SVI,10,"Tsusiat Falls B.C., off",48.68933333,-124.9351667,1,,,PJG,1,24-32,,,,
80,NMML,,1999,7,7/23/1999,,SVI,10,2 MI. W OF NITINAT,48.66666667,-124.8333333,2,,,PJG,2,01-36,,,,
80,NMML,,1999,9,9/14/1999,,NWA,6,BODELTEH/GUANO RK.,48.16666667,-124.75,2,1,,PJG,13,02-06,,,,
80,NMML,,1999,10,10/13/1999,,NWA,6,BTWN GREEN BANK AND WAATCH PT.,48.33333333,-124.7,2,2,,MG,31,05-17,,,,BIOPSIED NB-45 Added late
80,NMML,N,1998,7,7/1/1998,,SVI,10,Tsusiat Falls,48.684,-124.9176667,1,3,,PG,R4,17-35,,,,
80,NMML,N,1998,8,8/25/1998,,SVI,10,.5 mi. W. Carmanah,48.61716667,-124.7833333,3,3,,PG,R9,"31,33",,,,
80,NMML,N,1998,8,8/28/1998,,SVI,10,Bonilla Pt,48.6,-124.75,,1,,PG,10,16,,,,
80,NMML,N,1998,9,9/4/1998,,SVI,10,W. of Carmanah,48.61716667,-124.7833333,2,1,,MG,"6,7,8","33,26,02A,09A",,,,
80,NMML,N,1998,9,9/22/1998,,SVI,10,"E. of Bonilla, 2 mi E",48.55066667,-124.568,2,2,,PG,"11,12","36,02",,,,
80,NMML,PAT GEARIN,1994,8,8/25/1994,,NWA,6,0,48.38333333,-124.7333333,,,,PG,D1,31a,,,,Cape Flatery
80,NMML,PAT GEARIN,1994,8,8/29/1994,,NWA,6,0,48.2175,-124.7166667,,,,,,,,,,Father and Son
80,NMML,PAT GEARIN,1994,8,8/25/1994,,NWA,6,0,48.35083333,-124.7166667,,,,,,,,,,Cape B-Green Bank
80,NMML,NMML,1996,8,8/16/1996,11:25,NWA,6,0,48.28433333,-124.6841667,,,,MG,5,18-,,,,NMML
80,NMML,NMML,1996,8,8/23/1996,11:20,NWA,6,0,48.28483333,-124.7,,,,PG,1,19-,,,,NMML
80,NMML,NMML,1996,8,8/27/1996,14:17,NWA,6,0,48.3015,-124.7,,,,MG,6,01-,,,,NMML
80,NMML,NMML,1996,8,8/27/1996,14:56,NWA,6,0,48.3015,-124.7,,,,MG,6,14-,,,,NMML
80,NMML,NMML,1996,9,9/18/1996,,NWA,6,0,48.2845,-124.6841667,,,,PG,2,01-,,,,NMML
80,NMML,NMML,1996,9,9/18/1996,,NWA,6,0,48.28433333,-124.6841667,,,,PG,2,13-,,,,NMML
80,NMML,NMML,1996,9,9/26/1996,13:06,SJF,7,0,48.35016667,-124.568,,,,MG,9,01-,,,,NMML
81,NMML,,2001,7,7/9/2001,,SVI,10,"YJ whistle By, E of",48.64866667,-124.8161667,3,,,MG,22,11-30,,,,
81,NMML,,2000,8,8/20/2000,10:33,WVI,11,"Split Cape, End of ",49.47433333,-126.5836667,,3,,MG,17,29-30,,,,
81,NMML,,2000,8,8/20/2000,11:57,WVI,11,Perez Rocks,49.42983333,-126.5943333,1,1,,MG,20,1-37,,,,
81,NMML,,1999,8,8/8/1999,,WVI,11,OFF BAJO PT.,49.60716667,-126.8678333,1,1,,MG,"16,17,18,19","20-37,01A-36A,01-36,01-03",,,,
81,NMML,,1999,8,8/8/1999,,WVI,11,BAJO REEF,49.6,-126.85,3,,,PJG,5,01-24,,,,
81,NMML,,1999,9,9/11/1999,,WVI,11,INSHORE OFF SPLIT CAPE,49.46666667,-126.5833333,2,,,PJG,"9,10","30-36,01A-04A",,,,
81,NMML,,1999,9,9/12/1999,,WVI,11,OFF BAJO REEF,49.6,-126.85,2,,,PJG,10,06A-18A,,,,
81,NMML,,1999,9,9/29/1999,,NWA,6,OFF GUANO ROCK,48.19933333,-124.737,1,2,1,MG,30,21-END,,,,Added late
81,NMML,N,1998,9,9/15/1998,,NWA,6,Fuca Pillar-Skagway,48.3835,-124.7335,3,2,,MG,"11,12","14-30,03A",,,,
81,NMML,,1997,9,9/23/1997,11:55,SJF,7,0,48.384,-124.7006667,,,,MG,24,2-1,,,,
81,NMML,,2006,9,9/29/2006,13:37,SJF,7,Western SJF,48.3656,-124.5586,2,1,2,Merrill Gosho,2006NB-Sept29,106-125,DSC_0108,DSC_0125,DSC_0106,
81,NMML,,2006,9,9/29/2006,15:44,SJF,7,Western SJF,48.3566,-124.5475,2,1,1,Merrill Gosho,2006NB-Sept29,153-165,DSC_0165,DSC_0157,DSC_0160,
83,NMML,,2000,10,10/31/2000,12:32,NWA,6,"Ozette Island, SW of ",48.15266667,-124.7513333,1,1,1,MG,27/28,"14-37,1a-36a",,,,
83,NMML,,2000,8,8/20/2000,10:58,WVI,11,Perez Rocks,49.42983333,-126.5943333,,1,,MG,18/19,"1-37,1-36a",,,,
83,NMML,,1999,8,8/12/1999,,WVI,11,1 MILE NORTH OF BAJO POINT,49.61666667,-126.85,,1,,PJG,6,34-36,,,,
83,NMML,,1999,8,8/12/1999,,WVI,11,BAJO POINT,49.62916667,-126.8536667,,1,2,MG,"24,25,26","23-36,01-37,01A-04A",,,,
83,NMML,N,1998,8,8/16/1998,,NWA,6,Guano Rock,48.18333333,-124.734,3,2,1,MG,5,03-14,,,,
83,NMML,NMML,1996,7,7/23/1996,13:08,SJF,7,0,48.43366667,-124.7013333,,,,MG,1,01-,,,,NMML
83,NMML,,1997,7,7/12/1997,17:55,NWA,6,0,48.16666667,-124.7503333,,,,PJG,"6,7",34-,,,,
83,NMML,,2008,7,7/26/2008,7:38,SOR,3,"Humbug Mountain, off",42.6766,-124.4566,2,1,2,Merrill Gosho,BlancoJul26pjg,268-286,DSC_0280,DSC_0277,DSC_0279,
84,NMML,,2001,7,7/6/2001,,SVI,10,"Klanawa Rv mouth, W of",48.69766667,-124.9761667,,1,,MG,"16,17","30-E,1-14a",,,,
84,NMML,,2000,8,8/17/2000,15:18,SVI,10,"Pachena Bay, outside rocks",48.75066667,-125.1618333,1,2,,MG,11,26-37,,,,
84,NMML,,2000,8,8/17/2000,15:31,SVI,10,"Pachena Bay, outside rocks",48.75066667,-125.1618333,1,,,MG,12,1-14,,,,
84,NMML,,2000,9,9/20/2000,,SVI,10,"Sykes Reef, Barkley Sound",48.83333333,-125.3333333,1,2,,PJG,3,18a-26a,,,,
84,NMML,,2000,9,9/23/2000,,SVI,10,Pachena Bay/Seabird Rocks,48.75,-125.1511667,,3,,PJG,7,1-3,,,,
84,NMML,,1999,8,8/7/1999,14:29,WVI,11,PEREZ ROCKS,49.39916667,-126.5916667,,2,,MG,13,01-19,,,,
84,NMML,,1999,8,8/7/1999,15:43,WVI,11,W. OF ESTEVAN PT.,49.36666667,-126.55,1,1,3,MG,15,14-37,,,,
84,NMML,,1999,8,8/13/1999,,WVI,11,APPROX. 8 OFF MATLAHAW PT.,49.38333333,-126.45,,2,,MG,28,01-37,,,,
84,NMML,N,1998,7,7/1/1998,,SVI,10,Tsusiat Falls,48.684,-124.9176667,2,,,PG,3,17A,,,,
84,NMML,N,1998,7,7/1/1998,,SVI,10,Tsusiat Falls,48.684,-124.9176667,,2,,PG,"3,R4","14A,21",,,,
84,NMML,,2006,8,8/23/2006,10:07,NWA,6,Western SJF,48.1445,-124.7261,1,2,,Pat Gearin,2006NB-Aug23,19-24,DSC_0023,DSC_0022,,
84,NMML,,2006,8,8/23/2006,10:28,NWA,6,Western SJF,48.0905,-124.7105,,1,,Pat Gearin,2006NB-Aug23,25-29,,DSC_0027,,
84,NMML,,2007,7,7/8/2007,16:19,NWA,6,Neah Bay,48.2355,-124.7073,1,1,3,Merrill Gosho,2007NB-July08MG,95-154,DSC_0120,DSC_0153,DSC_0129,
