Survey Date,Initials,Region,Area Covered,Dist (nm) ,Time (hr),# Er seen,# Er photographed,Location of sighting,Comments
7/6/2001,MG,SVI,Point San Juan to Ucluelet,55,3.89,24,10,Bonilla(8); YJ Buoy(1); Tsusiat Falls(3); w. of Klanawa(3); Pachena Pt(3); Pachena Bay(1); Cape Beale(4); Alley Rocks(1),R2
7/7/2001,MG,SVI,Ucluelet mouth to George Fraser Is,1,0.02,2,2,N. George Fraser Is(2),R2
7/7/2001,MG,WVI,Ucluelet to Yuquot,74,6,1,1,Rafael Pt(1),R2
7/8/2001,MG,WVI,"Yuquot, N of Bajo Reef,to Cow Bay",78,6.57,2,2,Perez Rocks(1); Estevan Pt(1),R2
7/9/2001,MG,SVI,Ucluelet mouth to Cape Beale,20,1.23,2,2,W. Edward King Is(1); E. Folger Is(1),R2
7/9/2001,MG,SVI,Cape Beale to YJ whistle buoy,18,1.08,19,10,Cape Beale(5); Pachena Pt(2); Darling River(4); Klanawa River(3); Tsusiat Falls(1); E of YJ buoy(3); Carmanah(1),R2
7/9/2001,MG,WVI,Cox Point to Ucluelet,19,1.05,2,2,NW of Amphitrite Pt(2),R2
7/11/2001,PJG,NWC,Tatoosh to Father and Son ,10,1,0,0,,
7/11/2001,PJG,SJF,NB to Tatoosh ,6,0.5,0,0,,
7/12/2001,PJG,NWC,Tatoosh to Sea Lion Rock,27.5,2,0,0,,
7/12/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
7/25/2001,PJG,SJF,NB to Sekui,13,1.5,0,0,,
7/25/2001,PJG,SJF,Sekui to NB,13,1,0,0,,
7/26/2001,PJG,NWC,Tatoosh to Father and Son ,11,1,0,0,,
7/26/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
7/27/2001,PJG,NWC,Sea Lion Rock to Tatoosh,27.5,2,4,3,"S. Yell. Banks-2, Wht. Rck.-1, Oz. I-1",
7/27/2001,PJG,NWC ,Tatoosh to Sea Lion Rock,27.5,2,0,0,,
7/27/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
7/27/2001,PJG,SJF,Tatoosh to NB,6,0.5,0,0,,
7/31/2001,MG,CWC,48o 00'N to Westport,70,4,0,0,,
7/31/2001,MG,NWC,Tatoosh to 48o 00'N,27,1.68,3,3,Strawberry Rk-1; W.Bodelteh-2,R2
7/31/2001,MG,SJF,NB to Tatoosh,6,0.35,0,0,,R2
8/1/2001,MG,NOR,Columbia River to Garibaldi,40,2.75,0,0,,R2
8/1/2001,MG,SWC,Westport to Columbia River,42,2.5,0,0,,R2
8/2/2001,MG,NOR,Garibaldi to Columbia River,40,2.25,1,0,Nehalem River mouth-1,R2
8/2/2001,MG,SWC,Columbia River to Westport,42,2.12,0,0,,R2
8/3/2001,MG,NWC,48o 00'N to Tatoosh,27,1.5,2,1,Makah Bay-1; Waatch Pt-1,R2
8/3/2001,MG,SJF,Tatoosh to NB,6,0.3,0,0,,R2
8/7/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
8/8/2001,PJG,NWC,Tatoosh to Father and Son ,11,1.5,0,0,,
8/8/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
8/9/2001,PJG,NWC,Tatoosh to Skagway,1,0.25,1,1,Skagway,
8/9/2001,PJG,SJF,NB to Tatoosh ,6,0.5,0,0,,
8/9/2001,MG,SVI,Pt San Juan to Cape Beale,34,2,2,1,2 Er between Klanawa and Darling River,R2
8/9/2001,MG,SVI,outside Bamfield to Ucluelet entrance,19,1.12,6,6,Great Bear Rk-3; Starlight Rf-3,R2
8/10/2001,MG,WVI,Ucluelet mouth to Tofino entrance,22,1.82,0,0,,R2
8/10/2001,MG,WVI,Father Charles Rk to Yuquot,48,2.92,5,5,Estevan-1; Perez Rks-3; Split Cape-1,R2
8/11/2001,MG,WVI,Bajo Reef area,19,2.08,2,2,2 Er NW of Bajo Point,R2
8/27/2001,PJG,SJF,NB to Sekiu,13.5,1.5,0,0,,
8/28/2001,PJG,NWC,Sea Lion Rock to Sand Point,7.5,1,0,0,,
8/30/2001,PJG,NWC,Tatoosh to Yellow Banks,20,2.5,17,12,Green Bank to Sand Point,
8/30/2001,PJG,SJF,NB to Tatoosh ,6,0.5,0,0,,
9/6/2001,MG,NWC,Tatoosh to Carroll Is to Ozette,36,2.47,19,11,Green Bank-3; Anderson Hd-4; Portage Hd-6; Shi Shi-1; Bodeltehs-2; Cape Alava-2; west Ozette-1,R2
9/6/2001,MG,SJF,NB to Tatoosh and return,12,0.78,0,0,,R2
9/7/2001,MG,SJF,NB to Sekiu Pt and return,27,2.07,0,0,23 harbor porpoise sighted,R2
9/12/2001,PJG,SJF,GB to Sekui Pt.,13,1.5,0,0,surveying for porp. Plus ER,
9/12/2001,PJG,SJF,Sekui to GB,13,1.5,0,0,survey for porp. & ER,
9/13/2001,PJG,NWC,Tatoosh to Waatch Pt.,5,1,7,2,"Skagway-3, Green Bank-4, fog to So.",
9/13/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
9/16/2001,PJG,SVI,Bamfield to Cape Beale,6,0.75,0,0,,
9/17/2001,PJG,SJF,NB to Sekiu Pt.,13,1.5,0,0,porp. & ER survey,
9/22/2001,MG,SJF,NB to Sekiu and return,27,1.9,0,0,100-150 harbor porpoise sighted,R2
9/26/2001,PJG,SJF,NB to Kydaka Pt.,10,1,0,0,porp. & ER survey,
10/8/2001,PJG,SJF,NB to Sekiu,13,1.5,0,0,porp. & ER survey,
10/8/2001,PJG,SJF,Sekiu to NB,13,1.5,0,0,porp. & ER survey,
10/17/2001,PJG,SJF,NB to Rays,8,1,1,0,ER off Bullman Bch.,
10/18/2001,PJG,SJF,NB to Rasmussen Creek,5,1,1,1,biopsy I ER off Bullman,
11/7/2001,MG,SJF,NB to Tatoosh to Sekiu and return,39,2.93,5,3,Koitlah-1; Warmhouse-1; Slant Rk-1,R2
11/8/2001,MG,NWC,Tatoosh to Sea Lion Rock and return,56,3.97,2,1,W. Ozette-1; Cannonball-1;,R2
11/8/2001,MG,SJF,NB to Tatoosh and return,12,0.82,2,1,Koitlah-1 on way out; Warmhouse-1 in;,R2
1/10/2002,PJG,SJF,NB to Kydaka Pt.,10,1,0,0,porp. & ER survey,
2/13/2002,MG&PJG,NWC,Tatoosh to Point of Arches,9,1.5,0,0,boat problems,
2/13/2002,MG&PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
3/28/2002,PJG,SJF,Neah Bay to Tatoosh ,6,0.5,0,0,,
3/28/2002,PJG,SJF,Tatoosh to Sekiu Pt.,19,2,0,0,,
4/17/2002,MG,SJF,Tatoosh to Sekiu Pt. and return,39,2.57,3,2,1@Sail Rk; 1W. of Sekiu Pt(no photo); 1@Sail Rk (same),
4/24/2002,PJG,SJF,Neah Bay to Tatoosh and return,12,0.5,1,0,"1735, 1 er off NB jetty, no photo",
4/24/2002,PJG,NWC,Tatoosh to Sea Lion Rock and return,54,4,1,0,1 ER @ .5 mi. W. Skagway,
5/1/2002,MG,NPS,Everett and Saratoga Passage,33.2,2.63,0,,,
5/4/2002,PJG,SJF,Neah Bay to Sekiu and return,27,2,1,0,"1 ER @ Sail Rck, no photo",
5/21/2002,PJG,SJF,Neah Bay to Koitlah Pt. And return,4,0.5,0,0,,
5/22/2002,PJG,SJF,Neah Bay to Tatoosh and return,12,1,1,0,"1 ER @ mouth of Neah Bay on return trip, no photo",
5/22/2002,PJG,NWC,Tatoosh to Sea Lion Rock and return,54,4,5,3,"3= .5 mi. E. Wt Rck., 4=Hand Rck, 5=Father & Son",
5/23/2002,MG,NPS,"Everett, Port Susan&Saratoga Passage",45,3.02,0,,,
5/23/2002,PJG,SWVI,Bonilla Pt. To Pahena Bay ,,,1,0,"1 ER @ Sea Bird Rcks, no photo",
5/23/2002,PJG,SWVI,Pachena Bay to Port San Juan,,,2,2,2 ER off Tsusiat Falls moving west,
6/13/2002,MG,SJF,Neah Bay to Tatoosh and return,12,0.75,0,,,
6/13/2002,MG,NWC,Tatoosh to Sea Lion Rock and return,54,3.77,0,,,
6/14/2002,MG,SJF,aborted due to engine trouble,,,,,,
6/20/2002,MG,SJF,Neah Bay to Sekiu Pt. and return,27,1.95,2,1,same Er seen at Sail River going and 2nd Beach returning,
6/25/2002,PJG,SJF,Neah Bay to Tatoosh and return,12,1,0,0,,
6/25/2002,PJG,NWC,Tatoosh to Sea Lion Rock and return,54,4,0,0,,
6/26/2002,PJG,SJF,Neah bay to Sekiu and return,27,2,0,0,,
7/9/2002,MG,SVI,San Juan Pt to Cape Beale,35,2.52,7,,7 Er Carmanah to Cape Beale; 3 HB present; film lost,
7/9/2002,MG,SVI,Barkley Sound,17,1.33,1,,east of George Fraser Is ; film lost,
7/10/2002,MG,WVI,Amphitrite Pt to Cox Pt,19,1.5,0,,,
7/11/2002,MG,WVI,Hot Springs Cove to Perez Rocks,,,3,,2-Matlahaw Pt to Estevan Lt; 1 at Perez Rocks; film lost,
7/17/2002,PJG,OR,Port Orford to Port Orford Reef,6,1,4,3,near Long Brown Rock,
7/26/2002,PJG,SJF,Neah Bay to Tatoosh and back,12,1,0,0,,
7/26/2002,PJG,SJF,Neah Bay to Rays and back,8,1,0,0,,
8/2/2002,PJG,SJF,Neah Bay to Tatoosh,6,0.5,0,0,,
8/2/2002,PJG,NWC,Tatoosh to Sea Lion Rock and return,54,4,0,0,,
8/3/2002,PJG,SJF,Neah Bay to Sekiu and return,27,2,0,0,note 2 ER reported off Third Beach but not see,
8/21/2002,MG,SJF,Neah Bay to Tatoosh and return,12,0.73,0,,,
8/21/2002,MG,NWC,Tatoosh to Sea Lion Rock and return,54,3.22,6,3,1=w. of Bod; 2=E. of White Rk; 2= off Sand Pt; 1= traveling off yellow Bank,
8/22/2002,MG,SJF,Neah Bay to Sekiu Pt. and return,27,1.57,0,,,
8/26/2002,PJG,SJF,Neah Bay to Tatoosh and return,12,1,0,0,,
8/27/2002,PJG,SJF,Neah Bay to Tatoosh and return,12,1,0,0,,
8/28/2002,PJG,SJF,Neah Bay to Tatoosh and return,12,1,0,0,"fog in ocean prevented survey, run to Father & Son",
9/7/2002,PJG,SWVI,Ucuelet to Wouwer Island,14,2,4,2,,
9/7/2002,PJG,SWVI,Ucuelet to Tofino,22,1.5,1,1,1 ER just north of Amphitrite Point,
9/7/2002,PJG,SWVI,Tofino to Ahousat inside route,13,1,0,0,,
9/7/2002,PJG,SWVI,Ahousat to Hot Springs Cove,20,2,3,3,3-ER to SW of Cow Bay,
9/8/2002,PJG,SWVI,Hot Springs Cove to Tofino-inside,30,3,0,0,boat broke down in Calmas passage,
9/16/2002,PJG,SJF,Neah Bay to Sekiu and return,27,2,0,0,,
9/17/2002,PJG,SJF,Neah Bay to Sekiu River and back,18,2,1,1,1 ER off Snow Creek,
9/22/2002,MG/PJG,SJF,Neah Bay to Tatoosh and return,12,0.6,0,,,
9/22/2002,MG/PJG,NWC,Tatoosh to Sea Lion Rock and return,54,2.82,3,3,1=N. Makah Bay; 2= off Portage Head,
9/25/2002,MG,SJF,Neah Bay to Sekiu River bridge,9,0.5,1,0,at 1st point west of Ray's,
9/25/2002,MG,SJF,Ray's to Neah Bay,7,0.3,1,0,at Rasmussen Creek (probably same Er),
10/9/2002,MG/PJG,SJF,Neah Bay to Tatoosh and return,12,1.17,0,,,
10/9/2002,MG/PJG,NWC,Tatoosh to West Bodelteh and return,32,2.72,2,1,1=outside Makah Bay(no photo); 1=Pt of the Arches,
10/10/2002,MG,SJF,Neah Bay to Jensen Creek and return,12,1.22,1,1,"at Jensen Creek; traveling, not forageing; breached",
10/17/2002,PJG,No Cal,Crescent City to St George Reef,10,1,4,2,2 ER off South Seal Rock,
10/18/2002,PJG,S OR,Gold Beach to Rogue Reef & back,6,1,0,0,,
11/24/2002,PJG,SJF,Neah Bay to Sekui  and return,26,2,0,0,only porpoise seen,
11/25/2002,PJG,SJF,Neah Bay to Tatoosh,6,0.5,0,0,,
11/25/2002,PJG,NWC,Tatoosh to Sea Lion Rock and return,54,4,0,0,"many PP, no ER",
11/26/2002,PJG,SJF,Neah Bay to Tatoosh,6,0.5,0,0,,
11/26/2002,PJG,NWC,Tatoosh to East Bodelteh and back,32,3,0,0,,
2/5/2003,MG,SJF,Neah Bay to Snow Creek and return,5,0.52,0,0,poor weather conditions,
2/6/2003,MG/PJG,SJF,Neah Bay to Tatoosh and return,12,0.92,0,0,,
2/6/2003,MG/PJG,NWC,Tatoosh to Carroll Is. and return,54,3.2,0,0,,
5/21/2003,PJG,SJF,NB to Sekiu & ret,27,2,1,1,off Ray's,
6/11/2003,MG/PJG,SJF,NB to Tatoosh,12,0.92,2,2,SE of Koitlah;  E of Slant Rock,
6/11/2003,MG/PJG,NWC,Tatoosh to SL Rk,27,2.02,0,,,
6/12/2003,MG/PJG,SJF,NB to Sekiu & return,27,1.6,0,,,
6/25/2003,MG,SJF,NB to Tatoosh & Sekiu Pt,25.5,1.47,4,4,2=E. of Slant Rk; 2=W. of Waadah Is,
6/25/2003,MG,NWC,Tatoosh to SL Rk,28,1.97,1,1,Waatch-Green Bank,
7/10/2003,MG,SJF,NB to Tatoosh to Sail Rk,16,0.93,0,,,
7/10/2003,MG,NWC,Tatoosh to SL Rk& return,54,3.63,0,,,
7/11/2003,MG,SJF,NB to Jensen Crk,11,0.92,0,,,
7/26/2003,PJG,SJF,NB to Tatoosh,6,0.5,0,,,
7/26/2003,PJG,NWC,Tatoosh to Sand Pt,20,2.1,8,6,1=Skagway; 3=Waatch Pt; 1=Makah Bay; 1=S. Makah Bay; 2=SE Ozette Is;,
7/28/2003,PJG,SJF,NB to Tatoosh&return,12,0.75,0,,,
7/28/2003,PJG,NWC,Tatoosh to SL Rk & return,56,3.75,6,4,1=Makah Bay; 3=W. Cannonball Rk; 1=S. of Sail Bod; 1=Makah Bay,
7/29/2003,PJG,SJF,NB to Sekiu to Tatoosh,33,2.4,0,,,
8/5/2003,MG,SJF,NB to Tatoosh to Sail Rk,13.7,1.25,2,2,1=Koitlah Pt; 1=E. of Slant Rk travelling west,
8/6/2003,MG,SJF,NB to Sekiu Pt&return,27,1.72,2,1,1=off Sekiu River bridge(lost it); 1=off 3rd beach,
8/15/2003,PJG,SJF,NB to Tatoosh,6,0.5,1,1,1-Mushroom Rock,
8/15/2003,PJG,NWC,Tatoosh-W. Bod.,13,1.75,0,0,,
8/15/2003,PJG,NWC,W. Bod-Tatoosh,13,1,0,0,,
8/15/2003,PJG,SJF,Tatoosh to NB,6,0.5,0,0,,
8/21/2003,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
8/21/2003,PJG,NWC,Tatoosh-E. Bod,13,2,4,3,"1=Skagway; 2=Anderson Pt, 3= Father & Son",
8/21/2003,PJG,NWC,E. Bod-Tatoosh,13,1.75,2,2,"Skagway- one is ""friendly""",
8/26/2003,MG,SJF,NB to Tatoosh&Sekiu,39,2.65,4,4,1=off Sail River; 1=off Ray's; 1=same Er W of Ray's; 1=same Er at Bullman Beach,
8/26/2003,MG,NWC,Tatoosh to Pt of the Arches,18.5,1.72,0,,,
9/3/2003,PJG,SJF,Third Bch to Tat.,7,0.75,2,2,both off Third Beach,
9/4/2003,PJG,SJF,NB to Sekiu Pt&return,27,1.92,3,3,1=Seal/Sail Rk; 2=Sail River (biopsied),
9/9/2003,MG,SJF,NB to Tatoosh&return,12,0.75,0,,,
9/9/2003,MG,NWC,Tatoosh to White Rk&return,31,2.57,2,2,1=ShiShi Beach; 1=N. of E. Bodelteh,
9/10/2003,MG,SJF,NB to Sekiu Pt&return,27,2.1,2,2,1=W. of Shipwreck Pt; 1=same Er off Ray's on return,
9/17/2003,PJG,SJF,NB to tatoosh,6,0.5,0,0,,
9/17/2003,PJG,NWC,Tatoosh to Spike,9,2,4,2,"2=Waatch Pt., 1= Green Bank, 1= Waatch Pt.",
9/17/2003,PJG,NWC,Spike to Tatoosh,9,0.75,2,0,"1=Green Bank, 1= Skagway-no photos",
9/17/2003,PJG,SJF,Gut to Sekiu Pt.,20,2.5,1,1,1=Sail River,
9/17/2003,PJG,SJF,Sekiu Pt. To NB,13,1.5,1,1,1= Rasmussen Creek= biopsy NB-57,
9/23/2003,MG,SJF,NB to Sekiu Pt,14,1.28,1,1,3rd Beach,
9/24/2003,MG,SJF,NB to Tatoosh&return,12,0.72,2,2,1=off jetty; 1=off Wada Island,
9/24/2003,MG,NWC,Tatoosh to Jagged Is,27,2.28,8,7,1=Skagway; 1=Mad Bear Rk; 3=Portage Hd; 1=S of E Bod; 1=off Ozette R mouth;1=W of Ozette Is,
10/2/2003,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
10/2/2003,PJG,NWC,Tatoosh- E. Bod.,13,1.5,1,1,"Off E. Bodelteh-note fog dense, throw out this leg",
10/2/2003,PJG,NWC,W. Bod- Tatoosh,13,1,0,0,"fog lifted, vis. 3-4 nm",
10/2/2003,PJG,SJF,Gut to NB,6,0.5,1,1,1= Koitlah Pt.,
10/5/2003,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
10/5/2003,PJG,NWC,Tatoosh to SLR,28,4,4,3,"1=Skagway, 2=N. Skagway, 3= Ozette Reef, 4=S Ozette Is.",
10/5/2003,PJG,SJF,Gut to NB,6,0.5,0,0,,
10/6/2003,PJG,SJF,NB to Rays,9,0.55,0,0,,
10/7/2003,PJG,SJF,NB to Rays,9,0.5,0,0,,
10/15/2003,MG,SJF,3rd Bch to Tatoosh,8,0.62,4,3,"2=1st Beach, 1=SE of Koitlah Pt",
10/15/2003,MG,NWC,Tatoosh to Skagway,1.3,0.17,2,2,2=Skagway,
11/1/2003,MG,SJF,NB to Tatoosh to Sekiu Pt and return,39,2.85,0,0,,
11/1/2003,MG,NWC,Tatoosh to Ozette and return,34,2.72,0,0,,
11/5/2003,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
